image_id,class_id,class_name,nuclear_fragmentation_index,cell_shrinkage_ratio,membrane_blebbing_score,chromatin_condensation_proxy,cell_swelling_index,membrane_permeability_proxy,mean_intensity,total_intensity,intensity_variance,area_covered_ratio,cell_count,density_cells_per_10k_px,cell_area_mean,cell_area_std,cell_area_median,small_cell_fraction,medium_cell_fraction,large_cell_fraction,plate_id
img_2_25,2,late_apoptosis,0.09060022650056625,0.27123442808607023,0.0,896.2488087776701,1.3846153846153846,45.53021998396841,40.29517364501953,10563138.0,896.4959718845203,0.19101333618164062,1766.0,67.3675537109375,28.353906631469727,44.43064880371094,20.0,0.920158550396376,0.06908267270668177,0.010758776896942242,204
img_1_207,1,early_apoptosis,0.1287408243929983,0.2941840767927724,0.0,1013.2396590623413,1.4285714285714286,52.7959900508101,41.1557502746582,10788733.0,1013.4033121949615,0.20949172973632812,1771.0,67.55828857421875,31.009035110473633,59.898746490478516,21.0,0.8842461885940147,0.1101072840203275,0.00564652738565782,134
img_1_159,1,early_apoptosis,0.11269276393831554,0.24555160142348753,0.0,1499.2953423494637,1.2142857142857142,49.956138507775826,45.32727813720703,11882274.0,1499.2974605541094,0.20548629760742188,1686.0,64.3157958984375,31.9495849609375,86.24726867675781,20.0,0.9128113879003559,0.0800711743772242,0.0071174377224199285,126
img_0_92,0,viable,0.3570903747244673,0.34166054371785454,0.0,1696.330009110837,2.6315789473684212,70.43076646080328,38.73101806640625,10153104.0,1695.8533918224275,0.3179283142089844,1361.0,51.91802978515625,61.23659133911133,118.7181396484375,34.0,0.6377663482733285,0.331373989713446,0.03085966201322557,15
img_3_180,3,necrosis,0.12231884057971014,0.27014492753623187,0.0,1236.1138429491702,1.3846153846153846,38.427443739713915,42.90350341796875,11246896.0,1236.2777291201055,0.19913482666015625,1725.0,65.80352783203125,30.26202964782715,77.32593536376953,19.0,0.9031884057971015,0.09217391304347826,0.00463768115942029,330
img_0_89,0,viable,0.3706959706959707,0.35824175824175825,0.0,1330.9734636207775,2.8421052631578947,62.97344192162983,36.859230041503906,9662426.0,1330.9742023734725,0.3171424865722656,1365.0,52.07061767578125,60.906227111816406,99.20055389404297,37.0,0.6161172161172161,0.35311355311355314,0.03076923076923077,14
img_1_86,1,early_apoptosis,0.1191740412979351,0.2902654867256637,0.0,1652.0970924163942,1.3571428571428572,51.7619015158798,45.70478820800781,11981236.0,1652.2606893533375,0.2162933349609375,1695.0,64.65911865234375,33.45132827758789,85.18473052978516,21.0,0.8943952802359882,0.09734513274336283,0.008259587020648967,114
img_3_238,3,necrosis,0.10158013544018059,0.28386004514672686,0.0,1432.4844677611325,1.3076923076923077,40.86050693154332,43.003257751464844,11273046.0,1432.6102417674265,0.19381332397460938,1772.0,67.596435546875,28.672121047973633,93.64959716796875,19.0,0.9305869074492099,0.06659142212189616,0.0028216704288939053,339
img_3_171,3,necrosis,0.11623931623931624,0.256980056980057,0.0,1550.4604747991043,1.5384615384615385,38.1579863793563,44.46131896972656,11655268.0,1550.5875082944985,0.21033096313476562,1755.0,66.94793701171875,31.41709327697754,99.70610046386719,20.0,0.9122507122507123,0.08433048433048433,0.003418803418803419,328
img_3_183,3,necrosis,0.11253644314868805,0.2524781341107872,0.0,1784.9778112840327,1.5384615384615385,41.437609878757435,45.81515121459961,12010167.0,1785.0882865234596,0.21572113037109375,1715.0,65.42205810546875,32.97376251220703,99.73960876464844,20.0,0.9008746355685131,0.09329446064139942,0.0058309037900874635,330
img_2_105,2,late_apoptosis,0.11881750994883457,0.24786810687890848,0.0,712.0732816953774,1.2142857142857142,53.41855679984384,39.349124908447266,10315137.0,712.2903165407333,0.1892547607421875,1759.0,67.10052490234375,28.204662322998047,34.60944747924805,20.0,0.9061967026719727,0.0847072200113701,0.009096077316657191,217
img_2_93,2,late_apoptosis,0.10040863981319323,0.2679509632224168,0.0,1070.894153646665,1.3846153846153846,38.97450277262741,41.71086502075195,10934253.0,1071.0856705255428,0.1953125,1713.0,65.34576416015625,29.889083862304688,55.88060760498047,19.0,0.9165207238762405,0.07297139521307647,0.010507880910683012,215
img_2_111,2,late_apoptosis,0.11578341013824885,0.23387096774193547,0.0,1104.9083846517085,1.2857142857142858,45.75957549255072,41.699466705322266,10931265.0,1105.0947421472374,0.20724868774414062,1736.0,66.22314453125,31.295507431030273,64.58154296875,20.0,0.9038018433179723,0.08755760368663594,0.008640552995391706,218
img_0_94,0,viable,0.3443565780014378,0.34795111430625447,0.0,1457.4963837338864,2.5675675675675675,62.10220574431245,37.462947845458984,9820687.0,1457.494942140285,0.30950927734375,1391.0,53.06243896484375,58.32925796508789,104.5963363647461,34.0,0.6434219985621855,0.3321351545650611,0.024442846872753415,15
img_0_11,0,viable,0.11130638547158758,0.2624487404803749,0.0,1337.146094060097,1.4615384615384615,74.76166904666601,43.79026412963867,11479355.0,1337.2967892155139,0.2058258056640625,1707.0,65.11688232421875,31.60866928100586,79.4590072631836,20.0,0.8974809607498535,0.09666080843585237,0.005858230814294083,1
img_1_146,1,early_apoptosis,0.1070406410990269,0.25357756153405836,0.0,994.0890960209668,1.4615384615384615,53.32952069375986,41.099884033203125,10774088.0,994.3093514880165,0.1925201416015625,1747.0,66.64276123046875,28.88838005065918,55.2015495300293,20.0,0.9135661133371494,0.08013737836290784,0.006296508299942759,124
img_2_33,2,late_apoptosis,0.2869405272838749,0.33537706928264865,0.0,1053.7917544325992,2.3529411764705883,34.836051731812,35.08544158935547,9197438.0,1053.7964869662537,0.292633056640625,1631.0,62.21771240234375,47.033721923828125,70.67647552490234,30.0,0.7075413856529736,0.2820355610055181,0.010423053341508276,205
img_0_43,0,viable,0.33794056668970285,0.364201796821009,0.0,1088.6943873394407,2.8333333333333335,70.70959714670836,34.182376861572266,8960705.0,1088.8420781884195,0.3087615966796875,1447.0,55.19866943359375,55.93642044067383,92.14257049560547,34.0,0.6399447131997236,0.33932273669661367,0.02073255010366275,7
img_0_42,0,viable,0.11961722488038277,0.2625598086124402,0.0,1829.4773701981435,1.4615384615384615,71.49548635502885,45.98735427856445,12055309.0,1829.5591853310907,0.21177291870117188,1672.0,63.78173828125,33.20275115966797,108.91926574707031,20.0,0.8917464114832536,0.10227272727272728,0.005980861244019139,7
